station,latitude,longitude,brightness_temp_37v,temperature
AMF_US-Aud_BASE-BADM_4-1,31.59,-110.51,,278.73
AMF_US-Bkg_BASE-BADM_4-1,44.35,-96.84,,272.265
AMF_US-Bo2_BASE-BADM_2-1,40.01,-88.29,,268.62
AMF_US-Dk3_BASE-BADM_4-5,35.98,-79.09,,279.133
AMF_US-MMS_BASE-BADM_25-5,39.32,-86.41,,274.11
FLX_DE-Geb_FLUXNET2015_FULLSET_2001-2014_1-4,51.1,10.91,256.7913440625,271.995
FLX_DE-Hai_FLUXNET2015_FULLSET_2000-2012_1-4,51.08,10.45,256.23604671875,274.19
FLX_FR-LBr_FLUXNET2015_FULLSET_1996-2008_1-4,44.72,-0.77,248.682955625,279.455
FLX_IT-Col_FLUXNET2015_FULLSET_1996-2014_1-4,41.85,13.59,,273.933
