station,latitude,longitude,brightness_temp_19v,temperature
AMF_US-Aud_BASE-BADM_4-1,31.59,-110.51,,299.725
AMF_US-Bkg_BASE-BADM_4-1,44.35,-96.84,,290.09
AMF_US-Bo2_BASE-BADM_2-1,40.01,-88.29,,285.7
AMF_US-FPe_BASE-BADM_2-1,48.31,-105.1,,292.88
AMF_US-MMS_BASE-BADM_25-5,39.32,-86.41,,291.89
AMF_US-MOz_BASE-BADM_11-5,38.7,-92.2,,291.168
FLX_DE-Geb_FLUXNET2015_FULLSET_2001-2014_1-4,51.1,10.91,276.09874921874996,285.77
FLX_DE-Hai_FLUXNET2015_FULLSET_2000-2012_1-4,51.08,10.45,276.50316375,285.515
FLX_IT-Col_FLUXNET2015_FULLSET_1996-2014_1-4,41.85,13.59,252.93681093749998,281.852
FLX_NL-Loo_FLUXNET2015_FULLSET_1996-2014_1-4,52.17,5.74,265.96783328125,286.275
